frame,x1,y1,x2,y2
605,530,273,638,328,149
606,468,273,638,336,150
607,409,280,638,342,151
608,355,287,639,356,152
609,290,279,639,367,153
610,240,289,639,379,154
608,562,206,637,282,161
609,521,210,609,287,160
610,459,217,564,298,159
611,190,294,638,384,155
611,390,210,507,303,158
612,145,286,638,396,156
612,342,218,443,309,157
613,276,229,380,309,162
613,75,304,633,395,163
613,562,128,639,188,167
614,221,235,309,297,164
614,33,309,637,394,165
614,512,130,637,210,166
615,20,311,638,396,168
615,168,235,260,316,169
615,451,132,598,209,170
616,20,318,634,400,171
616,123,243,198,325,172
616,396,137,546,220,173
617,67,242,166,322,174
617,17,325,634,395,175
617,343,139,491,222,176
618,12,254,107,323,177
618,18,335,639,397,178
618,299,140,428,227,179
618,567,148,635,238,193
619,11,347,631,409,180
619,236,147,388,232,181
619,497,148,606,251,194
620,176,154,329,239,182
620,25,342,570,412,183
620,459,155,555,246,195
621,132,160,274,247,184
621,13,358,518,411,185
621,386,155,501,254,196
622,28,371,445,413,186
622,80,166,227,245,187
622,341,162,432,252,197
623,34,170,171,247,188
623,27,361,371,415,189
623,290,165,388,256,198
624,9,175,101,247,190
624,19,371,345,416,191
624,235,167,338,264,199
625,33,381,244,412,192
625,178,173,285,266,200
626,127,180,221,269,201
627,81,188,203,287,202
628,25,192,120,281,203
638,556,196,638,292,204
639,487,203,600,289,205
640,440,208,551,286,206
641,382,213,497,292,207
642,324,214,432,293,208
643,264,219,379,298,209
644,216,222,331,301,210
645,159,227,280,304,211
646,89,233,217,307,212
647,46,239,148,309,213
648,18,239,96,303,214
666,622,129,639,172,215
667,572,128,635,185,216
668,508,128,595,187,217
669,443,132,542,202,218
670,382,135,496,204,219
671,327,138,447,207,220
672,245,138,386,215,221
673,218,147,314,220,222
674,145,146,251,217,223
675,90,153,194,221,224
676,39,157,147,226,225
677,6,166,81,227,226
704,569,66,639,237,227
705,504,27,638,243,228
706,469,2,637,245,229
707,381,2,635,243,230
708,636,258,632,263,231
708,328,2,635,267,232
709,272,1,631,268,233
710,195,2,592,261,234
710,527,91,636,134,237
711,121,5,526,284,235
711,467,94,634,133,236
712,79,5,458,272,238
712,389,101,636,134,239
713,43,10,369,287,240
713,335,101,636,141,241
714,11,9,366,184,242
714,241,107,606,137,243
715,9,21,291,129,244
715,213,111,530,149,245
716,4,27,227,75,246
716,154,118,465,150,247
717,7,37,163,77,248
717,98,119,400,158,249
718,19,36,95,76,250
718,31,120,337,156,251
719,27,131,268,160,252
720,12,127,209,173,253
721,12,132,155,165,254
722,14,138,84,171,255
739,579,156,636,218,256
740,504,158,588,226,257
741,569,154,634,207,258
741,441,160,521,222,259
742,373,161,462,234,260
742,506,156,584,213,261
743,307,165,390,234,262
743,436,162,518,212,263
744,233,171,324,233,264
744,364,166,455,223,265
745,172,176,259,250,266
745,302,171,387,224,267
746,111,181,172,238,268
746,226,173,316,231,269
747,48,184,113,250,270
747,163,180,256,234,271
748,6,193,51,258,272
748,96,184,171,241,273
749,33,191,117,241,274
777,556,116,635,219,275
778,493,123,582,232,276
779,412,123,503,246,277
780,338,127,424,238,278
781,261,130,357,238,279
782,201,137,295,256,280
783,132,143,211,245,281
784,63,156,140,249,282
785,7,153,63,245,283
789,566,64,635,92,284
790,492,74,635,100,285
791,436,73,638,114,286
792,366,78,636,120,287
793,292,65,638,130,288
794,223,72,636,126,289
795,157,75,639,133,290
796,100,85,638,150,291
797,35,88,637,152,292
798,37,86,546,160,293
799,44,98,472,159,294
799,568,1,637,61,301
800,31,108,414,167,295
800,504,5,637,146,302
801,41,107,407,168,296
801,431,5,637,418,303
802,56,114,341,175,297
802,353,2,636,419,304
803,50,122,268,175,298
803,295,1,637,418,305
804,30,132,200,181,299
804,635,416,222,5,306
805,36,144,121,181,300
805,155,3,627,414,307
806,89,0,550,415,308
807,25,1,502,414,309
808,9,4,410,417,310
809,2,55,344,418,311
810,1,123,262,417,312
811,6,260,211,363,313
812,10,305,148,370,314
840,554,352,633,406,315
841,498,351,639,413,316
842,449,357,634,416,317
843,383,347,637,418,318
844,336,329,636,419,319
845,277,299,571,415,320
846,229,316,520,416,321
847,163,310,466,419,322
848,128,312,417,418,323
849,207,307,361,418,325
850,141,319,312,417,326
851,95,333,239,415,327
852,42,336,191,412,328
853,40,358,136,413,329
870,592,166,638,210,330
871,515,154,637,242,331
872,468,165,605,241,332
873,414,170,550,242,333
874,351,171,507,263,334
875,295,184,449,261,335
876,246,199,395,274,336
877,188,199,330,278,337
878,140,210,282,285,338
879,97,222,225,296,339
880,50,229,170,300,340
881,17,236,116,303,341
916,602,146,638,217,342
917,546,148,639,222,343
918,491,152,629,232,344
919,425,149,578,234,345
920,364,159,513,238,346
921,306,167,478,242,347
922,247,171,414,244,348
923,191,174,361,254,349
924,135,179,304,256,350
925,98,190,248,258,351
926,45,197,189,264,352
927,17,206,139,267,353
937,568,126,637,202,354
938,507,131,606,212,355
939,458,132,558,214,356
940,400,142,494,219,357
941,342,148,447,220,358
941,596,194,638,319,359
942,290,156,390,226,360
942,521,191,637,314,361
943,241,163,335,235,362
943,462,204,621,311,363
944,195,170,285,240,364
944,423,209,549,317,366
945,146,178,231,250,365
945,372,215,491,311,367
946,103,191,178,259,368
946,318,215,445,328,371
947,50,196,121,265,369
947,271,223,395,330,372
948,11,207,73,271,370
948,217,231,336,332,373
948,607,347,637,419,378
949,181,279,315,356,374
949,538,334,636,414,379
950,137,287,239,344,375
950,500,340,636,419,380
951,85,290,201,354,376
951,440,312,637,419,381
952,49,306,142,367,377
952,387,348,637,417,382
953,339,354,540,418,383
954,294,364,509,417,384
955,238,366,377,417,385
956,218,372,312,414,386
956,604,332,638,381,387
957,560,334,637,414,388
957,599,2,635,28,390
958,508,343,636,418,389
958,551,2,638,52,391
959,482,3,639,59,392
959,446,337,609,416,393
960,438,3,574,65,394
960,390,355,558,416,395
961,340,369,516,419,396
961,385,5,521,74,397
962,341,14,473,76,398
962,305,367,457,417,399
963,251,382,402,416,400
963,282,18,427,85,401
964,198,394,316,417,402
964,232,32,360,93,403
1027,580,127,639,201,404
1028,523,135,610,214,405
1029,473,144,572,231,406
1030,411,145,523,235,407
1031,361,164,469,246,408
1032,313,172,418,246,409
1033,265,182,375,264,410
1034,210,200,316,277,411
1035,151,204,249,282,412
1036,112,222,203,306,413
1037,52,235,147,310,414
1038,17,254,99,320,415
1249,597,258,639,323,416
1250,537,252,629,325,417
1251,489,255,572,327,418
1252,420,262,530,335,419
1253,366,253,474,327,420
1254,317,256,413,333,421
1255,256,256,370,336,422
1256,205,258,313,326,423
1257,155,255,252,334,424
1258,98,252,189,331,425
1259,51,257,131,318,426
1260,16,252,80,315,427
1377,575,174,638,284,428
1378,520,183,637,277,429
1378,564,85,639,144,430
1379,464,195,581,276,431
1379,501,88,615,144,432
1380,420,194,534,278,433
1380,456,96,546,145,434
1381,402,98,488,150,435
1381,374,199,476,276,436
1382,305,202,425,280,437
1382,345,99,450,154,438
1383,252,208,371,280,439
1384,240,102,345,166,440
1385,187,110,294,164,441
1385,147,214,263,290,442
1386,101,219,223,294,443
1386,134,119,245,167,444
1387,38,220,149,294,445
1387,82,118,178,170,446
1388,34,124,129,173,447
1388,18,207,79,283,448
1389,10,127,82,173,449
954,593,86,636,176,450
955,534,94,639,174,451
956,483,93,599,174,452
957,429,102,551,178,453
958,377,112,498,187,454
959,317,118,452,197,455
960,257,127,391,207,456
961,207,136,337,201,457
962,163,153,289,214,458
963,113,155,228,221,459
964,53,168,166,223,460
965,18,182,133,239,461
966,8,193,78,249,462
1132,37,18,118,85,463
1132,436,18,502,77,464
1133,6,40,66,92,465
1133,378,21,457,93,466
1134,317,31,395,97,467
1134,590,228,639,281,474
1135,250,38,338,108,468
1135,522,233,634,285,475
1136,200,56,276,124,469
1136,472,230,601,286,476
1137,143,65,225,137,470
1137,410,234,527,288,477
1138,88,78,170,151,471
1138,356,245,469,296,478
1139,53,93,128,173,472
1139,291,250,424,308,479
1140,8,111,67,177,473
1140,252,267,361,319,480
1141,206,282,309,321,481
1142,157,292,260,340,482
1143,110,312,200,365,483
1144,66,330,146,381,484
1151,593,327,637,390,485
1152,538,330,636,398,486
1153,488,347,574,409,487
1154,422,355,510,413,488
1155,382,371,457,418,489
1156,325,378,403,419,490
1157,269,394,342,419,491
1166,549,368,637,419,493
1167,507,378,588,416,494
1168,457,385,525,416,495
1169,400,393,474,418,496
1383,298,105,397,160,498
1384,208,212,305,280,499
